cnpj,id,nome,sobrenome,email,senha,privilegio,id_gestor
"UNIVERSO MIDIAS LTDA",71,Fletcher,Mckay,Proin.ultrices@Sed.ca,UGV39GFO3XM,1,71
"UNIVERSO MIDIAS LTDA",87,Yoshi,Roth,Nunc@eget.edu,GCK48KNS4TS,1,87
"UNIVERSO MIDIAS LTDA",90,Kennedy,Dean,eleifend.nunc@atiaculis.edu,FCG84YWD8VV,1,90
"UNIVERSO MIDIAS LTDA",40,Kenneth,Huffman,ipsum.primis@velvulputateeu.edu,SRA27GAX6TA,2,71
"UNIVERSO MIDIAS LTDA",84,Abdul,Marks,molestie@loremac.org,PQV97FWH7OW,2,71
"UNIVERSO MIDIAS LTDA",91,Rhonda,Stout,egestas.Sed@eleifend.co.uk,UHU10XTI9IR,2,90
"UNIVERSO MIDIAS LTDA",102,Mannix,Puckett,magna@ipsum.co.uk,OMA64GWS5ZU,2,71
"UNIVERSO MIDIAS LTDA",104,Tucker,Serrano,Phasellus.at@penatibuset.com,BBH98XGY5CP,2,71
"UNIVERSO MIDIAS LTDA",107,Bell,Morin,sociis.natoque.penatibus@erat.net,ORG59LLD2TC,2,71
"UNIVERSO MIDIAS LTDA",41,Holmes,Potts,at.iaculis@elitNulla.com,QCT05EBR6OX,3,71
"UNIVERSO MIDIAS LTDA",42,Pandora,Parsons,Curabitur@Sedeueros.co.uk,YZZ80DCM0XI,3,71
"UNIVERSO MIDIAS LTDA",43,Rigel,Case,eu.placerat.eget@malesuadaInteger.com,EQD34PMQ7KI,3,71
"UNIVERSO MIDIAS LTDA",65,Burton,English,dis.parturient@Namligula.com,PAH94IHD0EM,3,71
"UNIVERSO MIDIAS LTDA",66,Rinah,Sharpe,pede@massaSuspendisse.net,HWA81TRP8VL,3,71
"UNIVERSO MIDIAS LTDA",67,Jaime,Sweet,quam@disparturient.ca,DIH45PGT3JX,3,71
"UNIVERSO MIDIAS LTDA",68,Oliver,Hinton,ut.dolor@egetmetusIn.com,ETG76WTE1HW,3,71
"UNIVERSO MIDIAS LTDA",69,Mannix,Sanchez,id.risus.quis@Pellentesquehabitantmorbi.org,HWP07NGM0EW,3,71
"UNIVERSO MIDIAS LTDA",70,Harriet,Tran,Aliquam.rutrum.lorem@Phasellus.co.uk,WYO64XBC0GY,3,71
"UNIVERSO MIDIAS LTDA",85,Sigourney,Giles,Phasellus.libero.mauris@suscipitnonummyFusce.org,LHJ90IOP0OQ,3,71
"UNIVERSO MIDIAS LTDA",86,Gwendolyn,Miranda,dictum.placerat@posuere.net,BQC97PEI5DR,3,71
"UNIVERSO MIDIAS LTDA",88,Kai,Valenzuela,ut.mi.Duis@aliquamiaculislacus.com,QEI71DHK5FG,3,87
"UNIVERSO MIDIAS LTDA",89,Zane,Horne,dolor.Fusce@libero.com,CNE11RII2TA,3,87
"UNIVERSO MIDIAS LTDA",99,Avram,Willis,egestas.Aliquam@amagnaLorem.org,JYD46EAK2SJ,3,90
"UNIVERSO MIDIAS LTDA",100,Irma,Durham,in@ullamcorper.co.uk,HQD72PWV9VC,3,90
"UNIVERSO MIDIAS LTDA",101,Alisa,Dorsey,Ut.semper@cursusnonegestas.net,KPL09WEG4OP,3,90
"UNIVERSO MIDIAS LTDA",103,Bert,Wagner,auctor.odio.a@viverraMaecenas.net,KLG26CSY4HU,3,71
"UNIVERSO MIDIAS LTDA",105,Sharon,Dillard,lorem.tristique.aliquet@Aliquamvulputateullamcorper.ca,SBD43MON1XI,3,71
"UNIVERSO MIDIAS LTDA",106,Jessamine,Cooley,consequat.lectus.sit@Cumsociis.com,SZA36MIJ2FQ,3,71
"UNIVERSO MIDIAS LTDA",108,Ezekiel,Jefferson,enim@elitAliquamauctor.ca,JPZ35TGL7JJ,3,71
"UNIVERSO MIDIAS LTDA",109,Jescie,Mcfarland,aliquet.metus@aliquam.edu,SAS59TAX4YW,3,71
